id,name,code,phone_code
74,French Polynesia,PYF,689
75,Gabon,GAB,241
76,Gambia,GMB,220
77,Georgia,GEO,995
78,Germany,DEU,49
79,Ghana,GHA,233
80,Gibraltar,GIB,350
81,Greece,GRC,30
82,Greenland,GRL,299
83,Grenada,GRD,null
84,Guam,GUM,null
85,Guatemala,GTM,502
86,Guernsey,GGY,null
87,Guinea,GIN,224
88,Guinea-Bissau,GNB,245
89,Guyana,GUY,592
90,Haiti,HTI,509
91,Honduras,HND,504
92,Hong Kong,HKG,852
93,Hungary,HUN,36
94,Iceland,ISL,354
95,India,IND,91
96,Indonesia,IDN,62
97,Iran,IRN,98
98,Iraq,IRQ,964
99,Ireland,IRL,353
100,Isle of Man,IMN,null
101,Israel,ISR,972
102,Italy,ITA,39
103,Ivory Coast,CIV,225
104,Jamaica,JAM,null
105,Japan,JPN,81
106,Jersey,JEY,null
107,Jordan,JOR,962
108,Kazakhstan,KAZ,7
109,Kenya,KEN,254
110,Kiribati,KIR,686
111,Kosovo,XKX,383
112,Kuwait,KWT,965
113,Kyrgyzstan,KGZ,996
114,Laos,LAO,856
115,Latvia,LVA,371
116,Lebanon,LBN,961
117,Lesotho,LSO,266
118,Liberia,LBR,231
119,Libya,LBY,218
120,Liechtenstein,LIE,423
121,Lithuania,LTU,370
122,Luxembourg,LUX,352
123,Macau,MAC,853
124,Macedonia,MKD,389
125,Madagascar,MDG,261
126,Malawi,MWI,265
127,Malaysia,MYS,60
128,Maldives,MDV,960
129,Mali,MLI,223
130,Malta,MLT,356
131,Marshall Islands,MHL,692
132,Mauritania,MRT,222
133,Mauritius,MUS,230
134,Mayotte,MYT,262
135,Mexico,MEX,52
136,Micronesia,FSM,691
137,Moldova,MDA,373
138,Monaco,MCO,377
139,Mongolia,MNG,976
140,Montenegro,MNE,382
141,Montserrat,MSR,null
142,Morocco,MAR,212
143,Mozambique,MOZ,258
144,Myanmar,MMR,95
145,Namibia,NAM,264
146,Nauru,NRU,674
147,Nepal,NPL,977
148,Netherlands,NLD,31
149,Netherlands Antilles,ANT,599
150,New Caledonia,NCL,687
151,New Zealand,NZL,64
152,Nicaragua,NIC,505
153,Niger,NER,227
154,Nigeria,NGA,234
155,Niue,NIU,683
156,North Korea,PRK,850
157,Northern Mariana Islands,MNP,null
158,Norway,NOR,47
159,Oman,OMN,968
160,Pakistan,PAK,92
161,Palau,PLW,680
162,Palestine,PSE,970
163,Panama,PAN,507
164,Papua New Guinea,PNG,675
165,Paraguay,PRY,595
166,Peru,PER,51
167,Philippines,PHL,63
168,Pitcairn,PCN,64
169,Poland,POL,48
170,Portugal,PRT,351
171,Puerto Rico,PRI,
172,Qatar,QAT,974
173,Republic of the Congo,COG,242
174,Reunion,REU,262
175,Romania,ROU,40
176,Russia,RUS,7
177,Rwanda,RWA,250
178,Saint Barthelemy,BLM,590
179,Saint Helena,SHN,290
180,Saint Kitts and Nevis,KNA,null
181,Saint Lucia,LCA,null
182,Saint Martin,MAF,590
183,Saint Pierre and Miquelon,SPM,508
184,Saint Vincent and the Grenadines,VCT,null
185,Samoa,WSM,685
186,San Marino,SMR,378
187,Sao Tome and Principe,STP,239
188,Saudi Arabia,SAU,966
189,Senegal,SEN,221
190,Serbia,SRB,381
191,Seychelles,SYC,248
192,Sierra Leone,SLE,232
193,Singapore,SGP,65
194,Sint Maarten,SXM,null
195,Slovakia,SVK,421
196,Slovenia,SVN,386
197,Solomon Islands,SLB,677
198,Somalia,SOM,252
199,South Africa,ZAF,27
200,South Korea,KOR,82
201,South Sudan,SSD,211
202,Spain,ESP,34
203,Sri Lanka,LKA,94
204,Sudan,SDN,249
205,Suriname,SUR,597
206,Svalbard and Jan Mayen,SJM,47
207,Swaziland,SWZ,268
208,Sweden,SWE,46
209,Switzerland,CHE,41
210,Syria,SYR,963
211,Taiwan,TWN,886
212,Tajikistan,TJK,992
213,Tanzania,TZA,255
214,Thailand,THA,66
215,Togo,TGO,228
216,Tokelau,TKL,690
217,Tonga,TON,676
218,Trinidad and Tobago,TTO,null
219,Tunisia,TUN,216
220,Turkey,TUR,90
221,Turkmenistan,TKM,993
222,Turks and Caicos Islands,TCA,null
223,Tuvalu,TUV,688
224,U.S. Virgin Islands,VIR,null
225,Uganda,UGA,256
226,Ukraine,UKR,380
227,United Arab Emirates,ARE,971
228,United Kingdom,GBR,44
229,United States,USA,1
230,Uruguay,URY,598
231,Uzbekistan,UZB,998
232,Vanuatu,VUT,678
233,Vatican,VAT,379
234,Venezuela,VEN,58
235,Vietnam,VNM,84
236,Wallis and Futuna,WLF,681
237,Western Sahara,ESH,212
238,Yemen,YEM,967
239,Zambia,ZMB,260
240,Zimbabwe,ZWE,263
